"","name","Grain.yield...bu.ac","Grain.test.weight...lbs.bu","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","Heading.time...Julian.date..JD..","Plant.height.inches","SBMV","balancedIX","ranking"
"248","US16-IL-061-077",2.74843536849947,-0.385853707440909,-1.27965342358442,-1.98064420311897,-2.77229042053126,-0.256500730990297,0.385113923898597,1.15535904295471,6.70202995993154,63
"250","US16-IL-061-100",7.75869290861489,0.221429833599274,-1.75328732122141,-4.32387855699931,-4.27916858872645,2.73771924544363,0.840896826875436,-0.849066534980526,6.92260644845378,60
"251","US16-IL-061-102",9.45188760801865,-0.134984112254891,2.72507137411484,9.73535273943603,13.2269939796799,-0.578158216713376,0.434420678991518,-2.2805999665504,23.3631014521072,2
"253","US16-IL-061-162",8.0860969047576,-0.153165268652039,-6.22756442676652,-14.8410920386939,-17.6179208957346,3.30041612380205,1.63532332885639,0.866273715593047,3.95195773340073,96
"255","US16-IL-063-026",1.88589314003364,-1.02281321807869,0.652816498921762,1.45244969870777,2.27735468118647,-2.75573312404791,0.195661547276508,-3.058980116106,13.3392342626063,14
"256","US16-IL-063-030",3.75448484067196,0.326480628068509,-0.524294319653908,1.39909364895751,3.33520526208525,-1.91282745675872,0.777841482689531,-2.26548636216805,13.8340533693669,12
"258","US16-IL-063-063",8.29325117732078,0.00111485502057462,0.750590550634925,3.56006317527443,3.59421145154596,-0.668644782287203,-0.394549376602463,-1.51108930715594,24.0953985823599,1
"259","US16-IL-063-177",-2.43718288798114,-0.323371925338883,-1.20422188024197,-2.70892679175307,-2.74276028862784,-3.17328919864585,0.433168016563229,-1.35389179610955,4.17337634209373,94
"260","US16-IL-063-234",1.53146444378136,-0.523298410165879,0.770035531959744,3.71561403230088,5.33735453432431,-0.762041796541638,0.233508933859671,-0.0628555977259087,5.36863475987789,75
"262","US16-IL-064-029",5.15436937716589,1.56033200509986,-3.43481162246214,-7.70396255464696,-8.68300900580369,1.10472268086201,0.778610523690975,-2.61851549040432,7.43607805552687,52
"266","US16-IL-064-230",0.687978211459225,-0.416682366309431,4.31417412889922,13.5196651649146,19.4894580648652,-1.32397342687608,0.942668146581283,1.68825323017539,2.50836371491358,124
"267","US16-IL-064-248",3.14184676513307,0.243319544528809,-3.67391405330615,-9.38375820045617,-9.99079319043755,0.836733039619929,1.17606907131433,1.72503412951433,1.99121027626971,130
"268","US16-IL-065-010",0.498909377475954,1.20987229130357,-1.09740456577554,1.07078340516955,1.88473392028271,-0.128312474031418,0.197915542494396,0.260676716814348,1.71572977234307,133
"271","US17-IL-108-005",2.29285960866832,0.924622060155436,1.34297434871685,3.48181527674038,3.29577776438539,1.32067958026204,-0.728549472365319,-1.3701476147598,3.2513406803591,110
"274","US17-IL-108-035",10.2465993984103,-0.156320401203516,1.72194674073737,6.12789029423329,6.40166175045653,4.23528905906173,0.0988620656231092,-2.60443129940755,8.87578028868048,39
"275","US17-IL-108-039",10.460140362522,0.207237175341156,0.254371675584533,0.484041158223498,0.29853503249484,3.09496662895327,0.079872573813109,-3.4929606466456,14.1619504300503,10
"276","US17-IL-108-047",2.63024810246847,-0.498024369971219,4.92811616495722,13.4454555137644,16.1039090333511,1.07962366020084,-0.523846772932544,-3.47455571697193,2.63972581415203,122
"278","US17-IL-108-059",8.98518386550613,-0.546549250329221,2.12871507959799,8.8405247067361,12.131934069259,2.08088409854156,0.521599759789574,0.335270194728274,12.21924433478,22
"279","US17-IL-108-065",1.32088151672332,1.03843755551699,-2.90786490885227,-9.97346095423975,-13.6343388256515,1.21330327803972,-0.813800143484581,1.11581560469633,2.79430496011149,118
"280","US17-IL-108-068",0.154604053165173,-0.738049727103906,0.851927772189171,-2.38084830900119,-4.80778398405473,-0.33869458015235,-1.13591170599703,-1.82045570729471,4.83999256700549,85
"281","US17-IL-108-070",11.7111273587233,1.13988049927237,-1.47123900089867,-1.15326415729277,-0.0731099954105261,2.84815876595593,0.925785949878467,0.263226314250005,16.4977132689024,7
"283","US17-IL-109-046",4.49739572735703,-1.65709889401764,-3.36275508687198,-12.8919829142376,-16.8457032561557,1.66352635043984,0.125478432816411,1.2697540241647,4.91077564992287,82
"284","US17-IL-109-056",7.03911632949269,-0.262346794129527,-2.87805391808042,-7.58817384259109,-8.75103649723079,2.07580062485317,0.527657557429208,1.22312905874156,8.79531301711807,40
"292","US17-IL-111-005",7.99821035258609,-0.722549434233038,-0.367818048984745,-4.54930094004153,-5.14444914710129,0.709767323966418,0.202574530097383,2.05958015567989,16.8272686790117,6
"293","US17-IL-111-006",-1.33194908320162,0.134217187321703,-1.68668799715474,-1.84222520500591,-3.61688740554408,-3.1582071585957,-0.388870335873865,0.142267772138566,9.91002000856146,32
"295","US17-IL-111-008",0.435708273218879,0.390484206941856,-1.27660184866148,-4.6755054780063,-6.28137476318625,-0.0809153958941522,-0.25701147616428,-0.912687865264165,2.65755645904937,121
"296","US17-IL-111-012",6.36930572860307,-0.691168595227921,-1.19961707163066,-2.393933635623,-3.23399809764597,0.784949493241157,0.125883253242893,-0.520769933265711,12.426938490517,18
"297","US17-IL-111-013",3.03951138896575,-1.10818169970883,0.128787921464514,1.29197672151849,1.40543553949347,0.735303262724472,0.750579168037738,-1.279901523815,1.71962677265386,132
"298","US17-IL-111-015",2.55620906508231,-1.94381385568659,3.68005122895257,5.55004687357579,6.4492324965471,0.394504341880577,-0.412789324089374,0.919737992838336,4.85556017639882,84
"300","US17-IL-111-019",-2.21408054833165,-1.48581006665966,-0.69681773884775,-7.82201174963824,-11.9155994466874,-1.65120420793878,-1.30013560602361,0.307176671042838,4.53728217734809,90
"303","US17-IL-111-028",2.06158796631847,-0.594632236903593,-3.75281796257812,-10.6471928200692,-12.1413368503034,-0.292458146330887,1.02242342699793,2.13995997291787,3.6684015690299,101
"309","US17-IL-111-042",-2.45229101796046,-0.814894982457076,-2.82925243660832,-9.42484211623313,-11.3555581146638,-2.58649260156227,0.241444257373633,0.78155040301261,3.01699257833311,115
"310","US17-IL-111-049",-1.30433908249762,-2.9223283519365,-0.259930882060537,-6.83233558535573,-11.5363228967167,-1.42982907881967,-1.14997247062635,-1.69959062420024,4.52960093142338,91
"311","US17-IL-112-002",7.79808831603609,-0.662914320447399,1.34613963854274,7.77894614136593,13.384124167178,2.49584443650923,2.01724903768772,1.36876196054379,3.02899924433892,114
"312","US17-IL-112-013",-0.281345616877346,-2.10080565615191,4.38978965915888,8.02843976892061,10.2887626365906,-1.62951209357456,-0.180311367089505,1.23332783366906,4.26574120866092,93
"317","US17-IL-112-035",3.20151715243765,-0.959112337595947,3.14302102570826,6.85404138582363,9.46589596070066,1.19879718076692,-0.00248982390895591,2.10791785947788,2.72392594358378,120
